ref_number,title,company,location,job_type,priority,eligibility,published,match_score,verdict,matched_skills,missing_skills,reason,link,scraped_at
10001-1003489927-S,Werkstudent Data Science (m/w/d),Medizinischer Dienst Berlin-Brandenburg KdöR,Berlin,Werkstudent,1,eligible,2026-08-04,83,Apply Now,"Datenanalyse, SQL, Power BI, Python, TensorFlow, Keras, PyTorch, BERT, XLM-RoBERTa, LangChain, GPT-4, Whisper, Wav2Vec2, Git, GitHub, Docker, Linux, Jupyter Notebook, Google Colab, PostgreSQL, SQL data warehouse modelling, ETL pipelines, Power BI, AWS RDS, FastAPI, Node.js, Express, MongoDB, REST APIs, CI/CD","Gute Kenntnisse in Power Platform, GenAI-Technologien, Datenqualitätsprüfungen, Schutzbedarfsfeststellung, Risikoanalyse, Datenflüssen, Verarbeitungslogiken, Optimierung der Datenqualität, Visualisierung von Datenströmen, Prozessbezügen, technischen Zusammenhängen, Modellanalysen, Ergebnisbewertungen, Tests zur fachlichen und technischen Qualität von LLMs","The CV shows experience with data analysis, SQL, and various ML frameworks, but lacks specific knowledge of Power Platform and GenAI-Technologies. Additionally, the CV does not demonstrate expertise in data quality assessments, risk analysis, and model evaluations.",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003489927-S,2026-08-08 03:06
10001-1003490754-S,Werkstudent KI & Digitalisierung (m/w/d),citema systems GmbH,Grasbrunn,Werkstudent,1,eligible,2026-08-04,83,Apply Now,"Python, SQL, TensorFlow, Keras, PyTorch, BERT, DistilBERT, XLM-RoBERTa, Hugging Face Transformers, LangChain, GPT-4, Claude APIs, Prompt Engineering, TF-IDF, NER, CRF, Whisper, Wav2Vec2, HuBERT, HiFi-GAN, OpenCV, Git, GitHub, Docker, Linux, Jupyter Notebook, Google Colab, PostgreSQL, SQL data warehouse modelling, ETL pipelines, Power BI, AWS RDS, FastAPI, Node.js, Express, MongoDB, REST APIs, CI/CD, Java, JavaScript","C, C++, GenAI-Technologien","The CV shows a strong overlap in skills, particularly in Python, SQL, and deep learning frameworks like TensorFlow and PyTorch. However, the CV lacks experience with Java, JavaScript, C, C++, and GenAI-Technologien, which are required for the role.",https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003490754-S,2026-08-08 03:06
16604-967142-008-S,Werkstudent Material Data Operations (m/w/d),TKMS ATLAS ELEKTRONIK GmbH,Bremen,Werkstudent,1,eligible,2026-08-05,83,Apply Now,"Microsoft Excel, Datenanalyse, strukturierte Arbeitsweise, analytisches Denkvermögen, SAP-Materialstammdaten, Datenmanagement-Tools, Datenanalyse, Power BI","Erfahrung im Umgang mit SAP-Materialstammdaten, Erfahrung mit Datenmanagement-Tools, Fähigkeit, komplexe Daten zu analysieren","The CV shows experience with Microsoft Excel and Power BI, which matches the job posting's requirements. However, the CV lacks direct experience with SAP-Materialstammdaten and Datenmanagement-Tools, and the candidate's ability to analyze complex data is not explicitly stated.",https://www.arbeitsagentur.de/jobsuche/jobdetail/16604-967142-008-S,2026-08-08 03:06
13151-1607911-1-S,AMG Praktikanten KI-gestützte Prozessautomatisierung & Datenanalyse MB.OS ab September 2026 (m/w/d),Mercedes-Benz Group AG,"Affalterbach, Württemberg",Praktikum,1,eligible,2026-08-03,82,Apply Now,"Python, SQL, Power BI, Power Platform, GenAI-Technologien, Datenanalyse, Künstliche Intelligenz, Automatisierungslösungen, datengetriebene Anwendungen, KI-Technologien, Transformer architectures","Gute Kenntnisse in, strukturiertes Arbeiten mit großen Datenmengen, Hohe Eigeninitiative, analytisches Denkvermögen","The CV shows experience with Python, SQL, and Power BI, as well as knowledge of KI-Technologien and Transformer architectures. However, it lacks evidence of experience with GenAI-Technologien, strukturiertes Arbeiten mit großen Datenmengen, Hohe Eigeninitiative, and analytisches Denkvermögen.",https://www.arbeitsagentur.de/jobsuche/jobdetail/13151-1607911-1-S,2026-08-08 03:06
16947-961842022-S,Intern (d/f/m) Artificial Intelligence,Airbus Defence and Space GmbH,Donauwörth,Praktikum,1,eligible,2026-08-05,82,Apply Now,"Python, TensorFlow, PyTorch, scikit-learn, SQL, Power BI, AWS RDS, Git, GitHub, Docker, Linux, Jupyter Notebook, Google Colab, FastAPI, Node.js, Express, MongoDB, REST APIs, CI/CD","DO-178C, ISO 26262, DevOps practices, GenAI-Technologien","The CV shows a strong overlap in Python, AI frameworks, and data analysis skills. However, the CV lacks experience with DO-178C and ISO 26262, which are critical for the role's safety and regulatory standards.",https://www.arbeitsagentur.de/jobsuche/jobdetail/16947-961842022-S,2026-08-08 03:06
15794-471478_50313-1-S,Praktikant / Werkstudent Data Analytics - Innovation & Transformation (m/w/d),Deloitte GmbH,Düsseldorf,Werkstudent,1,eligible,2026-08-03,82,Apply Now,"Python, SQL, Power BI, Tableau, Agile Methoden, Analytisches Denken, Kommunikationsstärke","Gute Kenntnisse in GenAI-Technologien, Datenanalyse-Interesse, Wirtschaftswissenschaften-Studium","The CV shows a strong overlap in Python, SQL, and Power BI skills, as well as experience with Agile Methoden and Analytisches Denken. However, the CV lacks evidence of experience with GenAI-Technologien and a degree in Wirtschaftswissenschaften-Studium.",https://www.arbeitsagentur.de/jobsuche/jobdetail/15794-471478_50313-1-S,2026-08-08 03:06
17102-44362822-86-S,Praktikant Data Science & Predictive Analytics (Schwerpunkt Cos. Experience) (m/w/d) in Düsseldorf,Vodafone GmbH,Düsseldorf,Praktikum,1,eligible,2026-08-07,82,Apply Now,"Python, SQL, Power BI, GenAI-Technologien, Transformer architectures, BERT, XLM-RoBERTa, LangChain, GPT-4, Prompt Engineering, TensorFlow, Keras, PyTorch, CNN, LSTM, NLP, Deep Learning, Data Analysis, Tableau, Power BI","Gute Kenntnisse in Power Platform, Kundenzentrierte Arbeitsweisen und Methoden, Customer Journey Management, Daten visuell darstellen, Sicherer Auftreten und guter Argumentations- und Verhandlungsgeschick","The CV shows a strong overlap in skills such as Python, SQL, and Power BI. However, the CV lacks experience with Power Platform and customer-centric approaches, which are required for the role.",https://www.arbeitsagentur.de/jobsuche/jobdetail/17102-44362822-86-S,2026-08-08 03:06
12462-1605906-1-S,"Praktikant Digitalisierung, Daten & KI-Anwendungen (w/m/x)",BMW AG,Regensburg,Praktikum,1,eligible,2026-08-04,82,Apply Now,"Python, SQL, Power BI, Power Apps, Power Automate, Keras, PyTorch, BERT, XLM-RoBERTa, LangChain, GPT-4, Whisper, Wav2Vec2, Git, GitHub, Docker, Linux, Jupyter Notebook, Google Colab, FastAPI, Node.js, Express, MongoDB, REST APIs, CI/CD","Grundkenntnisse in JavaScript, Grundverständnis von KI und LLMs einschließlich Funktionsweise, Einsatzmöglichkeiten und Grenzen, Kenntnisse in Automatisierungstools, Sicheres Auftreten, strukturierte Arbeitsweise und gute Kommunikationsfähigkeit","The CV shows a strong overlap in skills, particularly in Python, SQL, and AI/ML frameworks like PyTorch and Keras. However, the CV lacks experience with JavaScript, a fundamental programming language, and does not demonstrate a clear understanding of KI and LLMs, which are crucial for the role.",https://www.arbeitsagentur.de/jobsuche/jobdetail/12462-1605906-1-S,2026-08-08 03:07
15120-1608761-1-S,Scientist Research & Development / PhD student (m/f/d) fixed term until 05/31/27,Thermo Fisher Scientific (Bremen) GmbH,Bremen,Praktikum,1,eligible,2026-08-06,82,Apply Now,"Python, SQL, Data Analysis, Power BI, PostgreSQL, AWS RDS, Git, GitHub, Docker, Linux, Jupyter Notebook, Google Colab, TensorFlow, Keras, PyTorch, BERT, XLM-RoBERTa, Hugging Face Transformers, LangChain, GPT-4, Claude APIs, Prompt Engineering, TF-IDF, NER, CRF, Whisper, Wav2Vec2, HuBERT, HiFi-GAN, OpenCV, FastAPI, Node.js, Express, MongoDB, REST APIs, CI/CD","Gute Kenntnisse in instrumental analysis workflows und data evaluation, Basic familiarity with chromatography, Proficient written and spoken English (native speaker), Experience from project/lab practicums in Chemistry, Calibration, QC, method validation concepts","The CV shows a strong overlap in skills, particularly in data analysis, machine learning, and software development. However, the CV lacks experience in instrumental analysis workflows, chromatography, and proficiency in English, which are essential requirements for the role.",https://www.arbeitsagentur.de/jobsuche/jobdetail/15120-1608761-1-S,2026-08-08 03:07
20208-8adff2cc4bc540518c9-S,Werkstudent (m/w/d) Datenprüfung und Qualitätssicherung - IdentityCheck,CHECK24 Services Personal GmbH,München,Werkstudent,1,eligible,2026-08-04,82,Apply Now,"Python, SQL, Data Analysis, Power BI, Power Platform, GenAI-Technologien, Git, GitHub, Docker, Linux, Jupyter Notebook, Google Colab, TensorFlow, Keras, PyTorch, BERT, XLM-RoBERTa, Whisper, Wav2Vec2, LangChain, GPT-4, Claude APIs, Prompt Engineering, TF-IDF, NER, CRF, OpenCV, FastAPI, Node.js, Express, MongoDB, REST APIs, CI/CD, PostgreSQL, AWS RDS, English, German","Auge fürs Detail, Drive und Kommunikation","The CV shows a strong overlap in data analysis and ML skills, particularly with Python, SQL, and Power BI. However, the CV lacks evidence of attention to detail and strong communication skills, which are crucial for the role of Datenprüfung und Qualitätssicherung.",https://www.arbeitsagentur.de/jobsuche/jobdetail/20208-8adff2cc4bc540518c9-S,2026-08-08 03:07
